brand,source_video,out_file,codec,dur_s,status
NOMAD-1234,NOMAD-1234 - YONAKA - Rockstar/YONAKA - Rockstar (With Vocals).mov,NOMAD-1234 - YONAKA - Rockstar.flac,flac,223.1,ok
NOMAD-1235,NOMAD-1235 - Travis Scott - sweet sweet/Travis Scott - sweet sweet (With Vocals).mov,NOMAD-1235 - Travis Scott - sweet sweet.flac,flac,223.2,ok
NOMAD-1236,NOMAD-1236 - Jasmine Thompson - You Are My Sunshine/Jasmine Thompson - You Are My Sunshine (With Vocals).mov,NOMAD-1236 - Jasmine Thompson - You Are My Sunshine.flac,flac,170.0,ok
NOMAD-1237,NOMAD-1237 - Nick Lowe - True Love Travels on a Gravel Road/Nick Lowe - True Love Travels on a Gravel Road (With Vocals).mov,NOMAD-1237 - Nick Lowe - True Love Travels on a Gravel Road.flac,flac,217.8,ok
NOMAD-1238,NOMAD-1238 - Kenny Wayne Shepherd - Everything Is Broken/Kenny Wayne Shepherd - Everything Is Broken (With Vocals).mov,NOMAD-1238 - Kenny Wayne Shepherd - Everything Is Broken.flac,flac,228.4,ok
NOMAD-1239,NOMAD-1239 - Set it off - Wolf in sheep's clothing/Set it off - Wolf in sheep's clothing (With Vocals).mov,NOMAD-1239 - Set it off - Wolf in sheep's clothing.flac,flac,187.9,ok
NOMAD-1240,NOMAD-1240 - Joe Nichols - Sunny and 75/Joe Nichols - Sunny and 75 (With Vocals).mov,NOMAD-1240 - Joe Nichols - Sunny and 75.flac,flac,208.5,ok
NOMAD-1241,NOMAD-1241 - The Something Specials - Aces/The Something Specials - Aces (With Vocals).mov,NOMAD-1241 - The Something Specials - Aces.flac,flac,218.5,ok
NOMAD-1242,NOMAD-1242 - The Sword - Cloak Of Feathers/The Sword - Cloak Of Feathers (With Vocals).mov,NOMAD-1242 - The Sword - Cloak Of Feathers.flac,flac,329.5,ok
NOMAD-1243,NOMAD-1243 - Over The Garden Wall (The Blasting Company) - Patient Is The Night/Over The Garden Wall (The Blasting Company) - Patient Is The Night (With Vocals).mov,NOMAD-1243 - Over The Garden Wall (The Blasting Company) - Patient Is The Night.flac,flac,88.8,ok
NOMAD-1244,NOMAD-1244 - Pigeon Pit - Josephine County Blues/Pigeon Pit - Josephine County Blues (With Vocals).mov,NOMAD-1244 - Pigeon Pit - Josephine County Blues.flac,flac,151.3,ok
